,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
151,"Sold - Jul 13, 2023","$75,000",2bed,1bath,600sqft600 square feet,"6,098sqft lot6,098 square foot lot","3432 Sunnyheart AveJackson, MI 49202"
152,"Sold - Oct 18, 2023","$77,500$11.45k",,,,14.37acre lot14.37 acre lot,"V/L Thru Roamin DrJackson, MI 49201"
153,"Sold - Dec 5, 2023","$252,500",3bed,1.5bath,"1,456sqft1,456 square feet",1acre lot1 acre lot,"3760 Sargent RdJackson, MI 49201"
154,"Sold - Sep 15, 2023","$425,000$25k",5bed,3.5bath,"4,456sqft4,456 square feet",1.94acre lot1.94 acre lot,"3720 W Primilia LnJackson, MI 49201"
155,"Sold - Aug 18, 2023","$154,000",3bed,2.5bath,"1,802sqft1,802 square feet",,"2792 Walden Woods BlvdJackson, MI 49201"
156,"Sold - Nov 22, 2023","$265,000",3bed,1.5bath,"1,440sqft1,440 square feet",0.36acre lot0.36 acre lot,"2073 Campbell DrJackson, MI 49202"
157,"Sold - Nov 3, 2023","$102,000",3bed,2bath,"1,072sqft1,072 square feet","6,534sqft lot6,534 square foot lot","349 N Dwight StJackson, MI 49202"
158,"Sold - Aug 30, 2023","$22,500",,,,1.11acre lot1.11 acre lot,"Jackson, MI 49201"
159,"Sold - Aug 10, 2023","$125,000",2bed,1bath,"1,180sqft1,180 square feet","4,356sqft lot4,356 square foot lot","1809 Lewis StJackson, MI 49203"
160,"Sold - Jul 31, 2023","$166,000",3bed,2bath,"1,506sqft1,506 square feet","5,227sqft lot5,227 square foot lot","616 Jefferson StJackson, MI 49202"
161,"Sold - Oct 27, 2023","$96,000",2bed,1bath,759sqft759 square feet,"2,614sqft lot2,614 square foot lot","511 Adams StJackson, MI 49202"
162,"Sold - Jun 28, 2023","$126,400",3bed,1bath,"1,573sqft1,573 square feet","4,792sqft lot4,792 square foot lot","617 Union StJackson, MI 49203"
163,"Sold - Sep 12, 2023","$256,500",3bed,2bath,"1,332sqft1,332 square feet",0.71acre lot0.71 acre lot,"6535 Rives Junction RdJackson, MI 49201"
164,"Sold - Aug 10, 2023","$58,000",,,,4.72acre lot4.72 acre lot,"GreenwoodJackson, MI 49201"
165,"Sold - Jul 14, 2023","$15,000",,,,0.58acre lot0.58 acre lot,"Page AveJackson, MI 49201"
166,"Sold - Dec 1, 2023","$205,000",4bed,2bath,"1,956sqft1,956 square feet","6,534sqft lot6,534 square foot lot","206 S Grinnell StJackson, MI 49203"
167,"Sold - Dec 1, 2023","$235,000$5k",3bed,2bath,"1,518sqft1,518 square feet",0.37acre lot0.37 acre lot,"601 Robinson RdJackson, MI 49203"
168,"Sold - Jun 27, 2023","$369,900",3bed,2bath,"1,816sqft1,816 square feet",0.38acre lot0.38 acre lot,"1940 Warren AveJackson, MI 49203"
169,"Sold - Nov 3, 2023","$310,000",3bed,2bath,"2,362sqft2,362 square feet",1.07acre lot1.07 acre lot,"7117 E Michigan AveJackson, MI 49201"
170,"Sold - Jul 14, 2023","$15,000",,,,0.58acre lot0.58 acre lot,"Page AveJackson, MI 49201"
171,"Sold - Nov 17, 2023","$800,000",,,,3.3acre lot3.3 acre lot,"7657 Ann Arbor RdJackson, MI 49201"
172,"Sold - Jun 26, 2023","$175,000",,,,32acre lot32 acre lot,"10750 Churchill RdJackson, MI 49201"
173,"Sold - Sep 21, 2023","$129,000",3bed,1.5bath,"1,116sqft1,116 square feet","4,356sqft lot4,356 square foot lot","534 Orange StJackson, MI 49202"
